                                                                                                  202.21
                              Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 20.12.2017

                                       Ульяновская область

Регистр.                   Название                 Тип объекта        Географические            Номенкл.
 номер              географического объекта                              координаты                 листа
                                                                                                    карты
                                                                    Широта          Долгота      масштаба
                                                                                                 1 :100 000
   1                           2                          3                     4                     5

                        Населённые пункты, не относящиеся к районам
                                         количество записей - 3


0013196    Димитровград                            город обл.      54°13'с.ш.       49°38'в.д.   N-39-064
                                                   знач.

0030724    Новоульяновск                           город обл.      54°09'с.ш.       48°23'в.д.   N-39-061
                                                   знач.

0013172    Ульяновск                               город обл.      54°19'с.ш.       48°24'в.д.   N-39-061
                                                   знач.




                                    Базарносызганский район
0030503   Мордовская Темрязань              село            53°35'с.ш.       47°20'в.д.   N-38-095
0030525   Неклюдовка                        деревня         53°36'с.ш.       46°44'в.д.   N-38-094
0031062   Новая Бекшанка                    село            53°23'с.ш.       47°04'в.д.   N-38-095
0030542   Новая Деревня                     село            53°34'с.ш.       46°52'в.д.   N-38-094
0030498   Новая Ханинеевка                  село            53°40'с.ш.       47°13'в.д.   N-38-095
0030539   Новый Дол                         село            53°48'с.ш.       47°10'в.д.   N-38-083
0030504   Обуховские Выселки                деревня         53°27'с.ш.       46°50'в.д.   N-38-094
0030526   Опытный                           посёлок         53°46'с.ш.       47°08'в.д.   N-38-083
0751939   Орлово                            посёлок         53°43'с.ш.       47°02'в.д.   N-38-083
0030915   Осока                             село            53°28'с.ш.       47°17'в.д.   N-38-095
0030528   Павловка                          село            53°36'с.ш.       46°46'в.д.   N-38-094
0030916   Покровская Решетка                село            53°41'с.ш.       46°56'в.д.   N-38-082
0030925   Поливаново                        посёлок         53°37'с.ш.       47°22'в.д.   N-38-095
0030522   Попова Мельница                   село            53°44'с.ш.       47°05'в.д.   N-38-083
0030507   Поселки                           деревня         53°48'с.ш.       47°02'в.д.   N-38-083
0030529   Приозерный                        посёлок         53°23'с.ш.       47°13'в.д.   N-38-095
0030508   Румянцево                         село            53°32'с.ш.       47°00'в.д.   N-38-095
0030932   Русская Бекшанка                  село            53°24'с.ш.       47°06'в.д.   N-38-095
0030494   Русское Тимошкино                 село            53°25'с.ш.       46°50'в.д.   N-38-094
0030931   Садовый                           посёлок         53°41'с.ш.       47°05'в.д.   N-38-083
0030926   Самородки                         посёлок         53°35'с.ш.       46°55'в.д.   N-38-094
0030911   Семиродники                       деревня         53°38'с.ш.       47°02'в.д.   N-38-095
0031108   Смольково                         село            53°43'с.ш.       47°41'в.д.   N-38-084
0030947   Сорокино                          деревня         53°30'с.ш.       47°12'в.д.   N-38-095
0031063   Старая Бекшанка                   село            53°24'с.ш.       47°02'в.д.   N-38-095
0030914   Старая Измайловка                 село            53°43'с.ш.       47°18'в.д.   N-38-083
0031014   Старая Савадерка                  деревня         53°45'с.ш.       46°59'в.д.   N-38-082
0030546   Старая Ханинеевка                 село            53°41'с.ш.       47°09'в.д.   N-38-083
0030910   Старотимошкино                    раб.посёлок     53°43'с.ш.       47°32'в.д.   N-38-084
0030980   Степановка                        посёлок         53°42'с.ш.       47°04'в.д.   N-38-083
0030912   Сурские Вершины                   село            53°23'с.ш.       46°57'в.д.   N-38-094
0030922   Ульяновка                         деревня         53°26'с.ш.       47°04'в.д.   N-38-095
0030923   Ушаковка                          деревня         53°34'с.ш.       46°54'в.д.   N-38-094
0030913   Феофилатовка                      деревня         53°32'с.ш.       46°46'в.д.   N-38-094
0030924   Чувашская Решетка                 село            53°42'с.ш.       47°02'в.д.   N-38-083
0128980   Языковка                          деревня         53°24'с.ш.       47°18'в.д.   N-38-095




                                  Вешкаймский район
                                  количество записей - 36


                                                                         Стр. 3 из 25
  1                           2                      3                     4                   5

0030638   Араповка                            село            53°55'с.ш.       47°25'в.д.   N-38-083
0031218   Архангельское Куроедово             село            53°55'с.ш.       46°55'в.д.   N-38-082
0030658   Ахматово-Белый Ключ                 село            53°56'с.ш.       47°02'в.д.   N-38-083
0030605   Бекетовка                           село            54°05'с.ш.       46°52'в.д.   N-38-070
0030592   Беклемишево                         село            53°51'с.ш.       47°25'в.д.   N-38-083
0031217   Белый Ключ                          село            54°09'с.ш.       47°09'в.д.   N-38-071
0030748   Березовка                           село            54°03'с.ш.       47°19'в.д.   N-38-071
0031237   Бутырки                             деревня         53°51'с.ш.       47°27'в.д.   N-38-083
0031240   Верхняя Туарма                      деревня         53°54'с.ш.       47°03'в.д.   N-38-083
0013204   Вешкайма                            раб.посёлок     54°03'с.ш.       47°07'в.д.   N-38-071
0751940   Вешкайма                            село            54°05'с.ш.       47°01'в.д.   N-38-071
0030645   Вырыпаевка                          село            54°06'с.ш.       47°02'в.д.   N-38-071
0693550   Грачевка                            деревня         53°59'с.ш.       46°53'в.д.   N-38-082
0030749   Ермоловка                           село            54°00'с.ш.       46°53'в.д.   N-38-082
0031335   Забарышский                         посёлок         54°03'с.ш.       47°17'в.д.   N-38-071
0030799   Залесный                            посёлок         54°01'с.ш.       47°03'в.д.   N-38-071
0031215   Зимненки                            село            54°03'с.ш.       46°51'в.д.   N-38-070
0062704   Канабеевка                          село            54°01'с.ш.       47°52'в.д.   N-38-072
0031238   Каргино                             село            53°55'с.ш.       47°05'в.д.   N-38-083
0031236   Котяковка                           деревня         53°58'с.ш.       47°14'в.д.   N-38-083
0030639   Коченяевка                          село            53°52'с.ш.       47°00'в.д.   N-38-083
0030681   Красная Эстония                     деревня         53°59'с.ш.       47°23'в.д.   N-38-083
0031244   Красный Бор                         село            54°00'с.ш.       47°14'в.д.   N-38-083
0031214   Мордовская Кандарать                деревня         53°58'с.ш.       46°56'в.д.   N-38-082
0030624   Мордовский Белый Ключ               село            53°56'с.ш.       46°57'в.д.   N-38-082
0031212   Мухино                              село            53°54'с.ш.       47°13'в.д.   N-38-083
0030556   Нижняя Туарма                       село            53°54'с.ш.       47°10'в.д.   N-38-083
0751941   Оборино                             деревня         54°08'с.ш.       47°09'в.д.   N-38-071
0693670   Озерки                              село            53°59'с.ш.       47°06'в.д.   N-38-083
0031213   Ребровка                            деревня         53°59'с.ш.       46°49'в.д.   N-38-082
0030585   Старое Погорелово                   село            54°08'с.ш.       46°52'в.д.   N-38-070
0031239   Стемасс                             село            53°58'с.ш.       47°24'в.д.   N-38-083
0030675   Ховрино                             село            54°07'с.ш.       47°10'в.д.   N-38-071
0031231   Чуфарово                            раб.посёлок     54°06'с.ш.       47°20'в.д.   N-38-071
0031220   Шарлово                             посёлок         53°58'с.ш.       46°51'в.д.   N-38-082
0031297   Шарлово                             деревня         53°59'с.ш.       46°52'в.д.   N-38-082




                                    Инзенский район
                                    количество записей - 66


0031002   Аксаур                              село            54°04'с.ш.       46°07'в.д.   N-38-069
0030964   Андрияновка                         деревня         53°46'с.ш.       46°19'в.д.   N-38-081
0031162   Анненково                           деревня         53°50'с.ш.       46°32'в.д.   N-38-082
0030959   Аргаш                               село            53°58'с.ш.       46°15'в.д.   N-38-081

                                                                           Стр. 4 из 25
  1                           2           3                  4                   5

0031166   Аристовка               село          53°38'с.ш.       46°33'в.д.   N-38-094
0693850   Бахметьевка             деревня       54°14'с.ш.       46°27'в.д.   N-38-069
0031157   Белая Горка             деревня       53°50'с.ш.       46°26'в.д.   N-38-081
0031001   Большая Борисовка       село          53°40'с.ш.       46°28'в.д.   N-38-093
0031027   Большие Озимки          село          53°48'с.ш.       46°32'в.д.   N-38-082
