                                                                                            202.21
                               Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 13.12.2018

                                        Орловская область

Регистр.                   Название                Тип объекта       Географические        Номенкл.
 номер              географического объекта                            координаты             листа
                                                                                              карты
                                                                   Широта       Долгота    масштаба
                                                                                           1 :100 000
   1                           2                          3                 4                   5

                        Населённые пункты, не относящиеся к районам
                                         количество записей - 3


0010410    Ливны                                   город           52°26'        37°37'    N-37-124
                                                   обл.подч.

0064333    Мценск                                  город           53°17'        36°34'    N-37-098
                                                   обл.подч.

0010427    Орел                                    город           52°58'        36°07'    N-37-109
                                                   обл.подч.




                                         Болховский район
0290990   Крестьянин           посёлок    53°17'       36°05'     N-37-097
0290993   Крещенский           посёлок    53°21'       36°04'     N-37-085
0291012   Крещенский           посёлок    53°29'       36°03'     N-37-085
0290989   Кривой Хутор         посёлок    53°19'       36°07'     N-37-097
0063907   Кривцово             село       53°29'       36°15'     N-37-085
0063551   Кривчее              село       53°29'       35°58'     N-36-096
0290951   Криуша               деревня    53°22'       35°51'     N-36-096
0291058   Крутогорье           деревня    53°32'       36°13'     N-37-085
0291011   Крыловский           посёлок    53°28'       35°59'     N-36-096
0291078   Кудинова             деревня    53°29'       35°50'     N-36-096
0291051   Кузнецовский         посёлок    53°23'       36°09'     N-37-085
0291029   Кулешова             деревня    53°24'       35°55'     N-36-096
0291071   Курасова             деревня    53°31'       36°12'     N-37-085
0063599   Кутьма               деревня    53°16'       36°01'     N-37-097
0291049   Липовка              деревня    53°25'       36°03'     N-37-085
0291061   Лозный               посёлок    53°26'       36°11'     N-37-085
0290995   Луневка              деревня    53°20'       36°06'     N-37-085
0291077   Лунево               село       53°27'       35°50'     N-36-096
0291050   Лутовинова           деревня    53°25'       36°05'     N-37-085
0063782   Лучки                деревня    53°28'       35°54'     N-36-096
0291048   Лыкова               деревня    53°23'       36°08'     N-37-085

                                                   Стр. 3 из 70
   1                         2           3            4                 5

0291047   Макеева                 деревня    53°24'       36°08'     N-37-085
0063862   Малая Кутьма            деревня    53°23'       36°01'     N-37-085
0291046   Мартыновка              деревня    53°25'       36°09'     N-37-085
0064299   Медведки                деревня    53°29'       35°43'     N-36-096
0291089   Меркулова               деревня    53°34'       35°59'     N-36-096
0063279   Михнева                 деревня    53°32'       36°02'     N-37-085
0306310   Можок                   посёлок    52°33'       35°59'     N-36-132
0291028   Моисеевка               посёлок    53°25'       35°50'     N-36-096
0290961   Морозово                село       53°29'       36°04'     N-37-085
0079167   Наседкина               деревня    53°22'       36°07'     N-37-085
0291062   Невструева              деревня    53°28'       36°11'     N-37-085
0062846   Нижняя Радомка          деревня    53°33'       35°51'     N-36-096
0291010   Никитский               посёлок    53°27'       35°58'     N-36-096
0291045   Никольский              посёлок    53°22'       36°05'     N-37-085
0291063   Новая Деревня           посёлок    53°28'       36°11'     N-37-085
0290998   Новая Жизнь             посёлок    53°20'       36°02'     N-37-085
0291200   Новогеоргиевский        посёлок    53°24'       36°00'     N-37-085
0290960   Новогеоргиевский        посёлок    53°28'       36°05'     N-37-085
0290997   Новознаменский          посёлок    53°17'       36°02'     N-37-097
0290971   Новоигинский            посёлок    53°30'       35°47'     N-36-096
0291076   Новоникольский          посёлок    53°29'       35°52'     N-36-096
0303860   Новый Путь              посёлок    53°28'       35°53'     N-36-096
0291075   Новый Свет              посёлок    53°27'       35°54'     N-36-096
0063671   Новый Синец             деревня    53°18'       36°08'     N-37-097
0064015   Однолуки                село       53°25'       36°07'     N-37-085
0291044   Онсина                  деревня    53°23'       36°13'     N-37-085
0291027   Орс                     деревня    53°26'       35°57'     N-36-096
0291097   Павлова                 деревня    53°32'       35°58'     N-36-096
0290970   Павлодарь               деревня    53°32'       35°40'     N-36-096
0079172   Пально                  село       53°33'       35°59'     N-36-096
0290952   Пальчикова              деревня    53°14'       36°02'     N-37-097
0064085   Пальчикова              деревня    53°31'       36°14'     N-37-085
0291065   Перцевский              посёлок    53°26'       36°11'     N-37-085
0291043   Петропавловский         посёлок    53°22'       36°07'     N-37-085
0487414   Печуковка               деревня    53°31'       35°38'     N-36-096
