                                                     Реестр зарегистрированных в АГКГН                                               201.21

                                               географических названий объектов на 28.01.2019
                                                              Липецкая область
                                                               Количество записей - 2025

Регистр.                    Название                        Тип объекта              Административно-   Географические координаты Номенкл.
 номер               географического объекта                                         территориальная                                листа
                                                                                                           Широта        Долгота
                                                                                      (муниципальная)                               карты
                                                                                          привязка           Привязка к другим    масштаба
                                                                                                         географическим объектам 1 : 100 000

   1                            2                                3                            4                    5                  6
0079647   Ачкасова            деревня         Измалковский район          52°36'               38°03'   N-37-125

0079516   Ашанино             деревня         Данковский район            53°25'               39°08'   N-37-091

0078639   Бабарыкино          ж.-д. ст.       Становлянский район         52°57'               38°15'   N-37-113

0078640   Бабарыкино          ж.-д.ст.(нп)    Становлянский район         52°57'               38°15'   N-37-113

0079536   Багровка            деревня         Воловский район             52°09'               37°59'   N-37-136

0079585   Баевка              деревня         Становлянский район         52°43'               38°14'   N-37-113

0078757   Байгора             река                                        52°30'               40°00'   N-37-129
                                                                      левый приток р. Матыра
0078691   Байгора             ж.-д. ст.       Грязинский район            52°24'               40°06'   N-37-129

0669590   Байгора             ж.-д.ст.(нп)    Грязинский район            52°24'               40°06'   N-37-129

0079545   Бакеевский          хутор           Долгоруковский район        52°18'               38°12'   N-37-137

0079101   Балахна             село            Задонский район             52°19'               38°52'   N-37-138

0078445   Баловинки           ж.-д. ст.       Данковский район            53°24'               38°48'   N-37-090

0079498   Баловинки           деревня         Данковский район            53°24'               38°50'   N-37-090

0078516   Баловнево           село            Данковский район            53°13'               39°02'   N-37-103

0808983   Баловневский        сельсовет       Данковский район            53°13'               39°02'   N-37-103

0079593   Бандуровка          деревня         Измалковский район          52°51'               37°58'   N-37-112

0079630   Барановка           деревня         Елецкий район               52°26'               38°39'   N-37-126

0078515   Барановка           деревня         Данковский район            53°15'               39°05'   N-37-103

0079590   Барановка           деревня         Измалковский район          52°40'               38°13'   N-37-125

0078753   Бараново            деревня         Измалковский район          52°33'               38°06'   N-37-125

                                                                                       Стр. 4 из 82
   1                         2               3                      4              5                 6
0078796   Барсуково              деревня          Становлянский район     52°57'       37°55'     N-37-112

0079629   Барымовка              деревня          Задонский район         52°27'       38°50'     N-37-126

0079543   Барышниково            деревня          Тербунский район        52°01'       38°13'     N-37-137

0078446   Барятино               село             Данковский район        53°21'       38°45'     N-37-090

0079598   Барятино               село             Лев-Толстовский район   53°16'       39°31'     N-37-104

0079597   Батыревский            посёлок          Чаплыгинский район      53°05'       40°01'     N-37-105

0079526   Бахаев                 хутор            Грязинский район        52°25'       39°36'     N-37-128

0079592   Бахтияровка            деревня          Измалковский район      52°47'       37°59'     N-37-112

0079612   Бацевка                деревня          Воловский район         51°57'       38°06'     M-37-005

0079521   Бегичево               деревня          Данковский район        53°34'       38°54'     N-37-090

0079589   Бекетовка              деревня          Становлянский район     52°57'       38°01'     N-37-113

0079584   Белевец                деревня          Становлянский район     52°44'       38°28'     N-37-113

0079591   Белевец                деревня          Елецкий район           52°41'       38°28'     N-37-113

0078957   Белоносовка            деревня          Добринский район        51°58'       40°17'     M-37-009

0079644   Белый Конь             деревня          Долгоруковский район    52°22'       38°05'     N-37-125

0079439   Беляево                село             Усманский район         51°58'       39°41'     M-37-008

0079440   Беляево                останов. пункт   Усманский район         51°58'       39°41'     M-37-008

0079658   Бережки                деревня          Измалковский район      52°32'       37°56'     N-37-124

0079386   Березнеговатка         село             Добринский район        52°04'       40°20'     N-37-141

0809004   Березнеговатский       сельсовет        Добринский район        52°04'       40°20'     N-37-141

0079387   Березняговка           село             Усманский район         52°08'       40°03'     N-37-141

0809195   Березняговский         сельсовет        Усманский район         52°08'       40°03'     N-37-141

0078850   Березовая Роща         деревня          Становлянский район     52°51'       38°29'     N-37-113

0079558   Березовка              деревня          Добринский район        52°04'       40°16'     N-37-141

0079648   Березовка              деревня          Елецкий район           52°36'       38°20'     N-37-125


                                                                                   Стр. 5 из 82
   1                        2               3                     4                     5                  6
0079527   Березовка             деревня         Грязинский район           52°21'            39°49'     N-37-128

0078851   Березовка             село            Становлянский район        52°54'            38°01'     N-37-113

