                                                                                                 202.21
                             Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 20.12.2017

                                      Вологодская область

Регистр.                  Название                Тип объекта         Географические            Номенкл.
 номер             географического объекта                              координаты                 листа
                                                                                                   карты
                                                                   Широта          Долгота      масштаба
                                                                                                1 :100 000
   1                          2                           3                    4                     5

                       Населённые пункты, не относящиеся к районам
                                        количество записей - 4


0242438   Демшино           деревня   59°56'с.ш.       36°05'в.д.   O-37-001
0035056   Дийково           деревня   59°58'с.ш.       36°06'в.д.   O-37-001
0227148   Дубинино          деревня   59°36'с.ш.       35°59'в.д.   O-36-024
0033994   Дубровка          деревня   59°13'с.ш.       36°14'в.д.   O-37-025
0036587   Дудино            деревня   59°27'с.ш.       35°49'в.д.   O-36-024
0273948   Дуново            деревня   60°05'с.ш.       36°19'в.д.   P-37-133
0227149   Ельник            деревня   59°39'с.ш.       35°52'в.д.   O-36-024
0273950   Заболотье         деревня   60°17'с.ш.       36°17'в.д.   P-37-133
0034984   Заборье           деревня   59°13'с.ш.       36°13'в.д.   O-37-025
0227731   Завод             деревня   60°02'с.ш.       35°36'в.д.   P-36-144
0227150   Заготскот         посёлок   59°23'с.ш.       35°59'в.д.   O-36-024
0035796   Загривье          деревня   59°12'с.ш.       36°14'в.д.   O-37-025
0242439   Задний Двор       деревня   59°57'с.ш.       36°14'в.д.   O-37-001
0227026   Заельник          деревня   59°46'с.ш.       35°43'в.д.   O-36-012
0227151   Замошье           деревня   59°32'с.ш.       35°44'в.д.   O-36-024
0036595   Занино            деревня   59°55'с.ш.       35°56'в.д.   O-36-012
0034523   Заполье           деревня   59°18'с.ш.       36°26'в.д.   O-37-025
0227730   Заречье           деревня   60°16'с.ш.       35°41'в.д.   P-36-144
0034017   Званец            деревня   59°10'с.ш.       36°02'в.д.   O-37-025
0242440   Зворыкино         деревня   59°54'с.ш.       36°03'в.д.   O-37-001
0227027   Ивановская        деревня   59°58'с.ш.       35°59'в.д.   O-36-012
0242442   Игнатово          деревня   59°56'с.ш.       36°05'в.д.   O-37-001
0242441   Игнатово          деревня   59°53'с.ш.       36°06'в.д.   O-37-001
0242443   Игумново          деревня   59°47'с.ш.       36°01'в.д.   O-37-001
0034034   Иевково           деревня   59°13'с.ш.       36°08'в.д.   O-37-025
0242444   Ионино            деревня   59°56'с.ш.       36°13'в.д.   O-37-001
0227732   Истомино          деревня   60°03'с.ш.       35°32'в.д.   P-36-144
0227736   Калачево          деревня   60°03'с.ш.       35°41'в.д.   P-36-144
0242445   Карасово          деревня   59°53'с.ш.       36°02'в.д.   O-37-001
0227152   Карпово           деревня   59°32'с.ш.       35°40'в.д.   O-36-024
0227738   Качалово          деревня   60°03'с.ш.       35°40'в.д.   P-36-144
0227734   Керняшово         деревня   60°01'с.ш.       35°53'в.д.   P-36-144
0227733   Керчаково         деревня   60°04'с.ш.       35°32'в.д.   P-36-144
0033265   Киино             деревня   60°03'с.ш.       35°46'в.д.   P-36-144
0033489   Кийно             деревня   60°17'с.ш.       36°18'в.д.   P-37-133
0033208   Киндаево          деревня   60°21'с.ш.       36°07'в.д.   P-37-121
0034051   Клавдино          деревня   59°11'с.ш.       36°03'в.д.   O-37-025
0227028   Клюшово           деревня   59°42'с.ш.       35°54'в.д.   O-36-012
0242446   Кобелево          деревня   59°57'с.ш.       36°01'в.д.   O-37-001
0033406   Колошма           посёлок   60°11'с.ш.       35°25'в.д.   P-36-143
0227153   Колпино           деревня   59°24'с.ш.       35°54'в.д.   O-36-024
0273954   Комарово          деревня   60°01'с.ш.       36°08'в.д.   P-37-133
0035684   Комарово          деревня   59°37'с.ш.       36°27'в.д.   O-37-013

                                                   Стр. 3 из 183
  1                         2           3                4                   5

0227737   Кондратово            деревня     60°03'с.ш.       35°40'в.д.   P-36-144
0036905   Конец                 деревня     60°02'с.ш.       36°23'в.д.   P-37-133
0242447   Корнилово             деревня     59°52'с.ш.       36°02'в.д.   O-37-001
0227154   Косино                деревня     59°30'с.ш.       35°43'в.д.   O-36-024
0227030   Костеньково           деревня     59°59'с.ш.       35°59'в.д.   O-36-012
0242448   Костино               деревня     59°53'с.ш.       36°13'в.д.   O-37-001
0227029   Костино               деревня     59°58'с.ш.       35°59'в.д.   O-36-012
0245783   Костяй                деревня     59°11'с.ш.       36°03'в.д.   O-37-025
0227155   Красиково             деревня     59°31'с.ш.       35°43'в.д.   O-36-024
0034142   Красная Гора          деревня     60°16'с.ш.       35°42'в.д.   P-36-144
0273953   Красная Горка         деревня     60°11'с.ш.       36°11'в.д.   P-37-133
0227156   Кузовлево             деревня     59°31'с.ш.       35°42'в.д.   O-36-024
0227735   Кябелево              деревня     60°01'с.ш.       35°46'в.д.   P-36-144
0273957   Лабино                деревня     60°06'с.ш.       36°21'в.д.   P-37-133
0227020   Лабокша               деревня     59°46'с.ш.       35°54'в.д.   O-36-012
0244287   Ладышкино             деревня     59°36'с.ш.       36°01'в.д.   O-37-013
0227157   Лебедево              деревня     59°31'с.ш.       35°32'в.д.   O-36-024
0035527   Логиново              деревня     59°59'с.ш.       35°50'в.д.   O-36-012
0036022   Лукьяново             деревня     59°13'с.ш.       36°14'в.д.   O-37-025
0244286   Лунево                деревня     59°34'с.ш.       36°15'в.д.   O-37-013
0242449   Лыково                деревня     59°56'с.ш.       36°13'в.д.   O-37-001
0227158   Любочская Горка       деревня     59°31'с.ш.       35°33'в.д.   O-36-024
0035237   Лютомля               деревня     59°29'с.ш.       35°40'в.д.   O-36-024
0227031   Макаровская           деревня     59°51'с.ш.       35°59'в.д.   O-36-012
0227740   Макарьевская          деревня     60°15'с.ш.       35°40'в.д.   P-36-144
0242450   Максимово             деревня     59°41'с.ш.       36°04'в.д.   O-37-001
0242451   Малая Пельпахта       деревня     59°46'с.ш.       36°18'в.д.   O-37-001
0227032   Малое Борилово        деревня     59°46'с.ш.       35°59'в.д.   O-36-012
0033033   Малое Борисово        деревня     59°48'с.ш.       36°04'в.д.   O-37-001
0036766   Малые Кипрецы         деревня     59°41'с.ш.       35°55'в.д.   O-36-012
0273960   Мамаево               деревня     60°07'с.ш.       36°10'в.д.   P-37-133
0227741   Мамоново              деревня     60°02'с.ш.       35°37'в.д.   P-36-144
0035514   Марково               деревня     60°16'с.ш.       36°25'в.д.   P-37-133
0227742   Маяк-Горка            хутор       60°04'с.ш.       35°34'в.д.   P-36-144
0035525   Межерье               деревня     60°11'с.ш.       36°31'в.д.   P-37-134
0227159   Минино                деревня     59°30'с.ш.       35°43'в.д.   O-36-024
0227739   Морозово              деревня     60°02'с.ш.       35°46'в.д.   P-36-144
0242452   Мятино                деревня     59°57'с.ш.       36°02'в.д.   O-37-001
0227033   Назарово              деревня     59°59'с.ш.       35°59'в.д.   O-36-012
0227034   Неверово              деревня     59°59'с.ш.       35°59'в.д.   O-36-012
0227035   Некрасово             деревня     59°55'с.ш.       35°56'в.д.   O-36-012
0242453   Нестерово             деревня     59°46'с.ш.       36°34'в.д.   O-37-002
0227036   Нефедово              деревня     59°46'с.ш.       35°54'в.д.   O-36-012
0227746   Нечаево               деревня     60°03'с.ш.       35°42'в.д.   P-36-144
0033268   Нижний Конец          деревня     60°01'с.ш.       35°47'в.д.   P-36-144

