                                                                                              202.21
                              Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 28.01.2019

                                         Липецкая область

Регистр.                   Название                 Тип объекта       Географические         Номенкл.
 номер              географического объекта                             координаты              листа
                                                                                                карты
                                                                   Широта         Долгота    масштаба
                                                                                             1 :100 000
   1                           2                          3                   4                   5

                        Населённые пункты, не относящиеся к районам
                                         количество записей - 2


0010389    Елец                                    город           52°37'          38°31'    N-37-126
                                                   обл.подч.

0010400    Липецк                                  город           52°37'          39°36'    N-37-128
                                                   обл.подч.




                                         Воловский район
                                         количество записей - 77


0079923   Грязи                             город           52°30'       39°58'     N-37-128
0079922   Гудаловка                         деревня         52°39'       39°49'     N-37-128
0078767   Двуречки                          село            52°27'       39°39'     N-37-128
0079924   Дебри                             деревня         52°21'       40°03'     N-37-129
0079953   Демшинка                          деревня         52°19'       40°02'     N-37-141
0078771   Дубрава                           деревня         52°25'       39°52'     N-37-128
0079921   Дурасовка                         деревня         52°25'       39°45'     N-37-128
0079925   Ермаковка                         деревня         52°30'       40°07'     N-37-129
0079898   Зейделевка                        деревня         52°29'       40°00'     N-37-129
0079897   Зейделевка                        деревня         52°29'       39°59'     N-37-128
0078784   Казинка                           село            52°32'       39°49'     N-37-128
0078783   Каменное                          село            52°31'       39°53'     N-37-128
0078657   Карамышево                        село            52°22'       39°28'     N-37-127
0078688   Княжая Байгора                    село            52°24'       40°01'     N-37-129
0079835   Колоусовка                        деревня         52°28'       40°06'     N-37-129
0079834   Колыбеловка                       деревня         52°30'       40°11'     N-37-129
0079385   Коробовка                         село            52°20'       40°04'     N-37-129
0079832   Красногорка                       деревня         52°27'       39°59'     N-37-128
0079853   Красное Знамя                     посёлок         52°18'       40°04'     N-37-141
0079833   Красные Выселки                   деревня         52°26'       39°59'     N-37-128

                                                                     Стр. 3 из 39
  1                         2                          3                4                 5

0080077   Красный Луч                          посёлок         52°20'       39°35'     N-37-128
0080075   Кубань                               деревня         52°25'       40°07'     N-37-129
0078776   Кузовка                              село            52°27'       39°59'     N-37-128
0078774   Макрушина                            деревня         52°25'       39°51'     N-37-128
0078778   Малей                                село            52°35'       39°51'     N-37-128
0078633   Падворки                             село            52°21'       40°02'     N-37-129
0080143   Первомайский                         посёлок         52°29'       39°39'     N-37-128
0078687   Петровка                             село            52°30'       40°08'     N-37-129
0108327   Писаревка                            деревня         52°24'       39°45'     N-37-128
0078789   Плеханово                            село            52°38'       39°51'     N-37-128
0108317   Подлякино                            деревня         52°24'       39°43'     N-37-128
0669591   Прибытково                           ж.-д.ст.(нп)    52°25'       39°51'     N-37-128
0078787   Прудки                               деревня         52°23'       39°46'     N-37-128
0108325   Роза                                 посёлок         52°25'       40°07'     N-37-129
0108515   Садовый                              посёлок         52°26'       39°45'     N-37-128
0108517   Светлая Поляна                       посёлок         52°26'       39°54'     N-37-128
0108514   Семиколенов                          хутор           52°24'       39°36'     N-37-128
0078689   Синявка                              село            52°26'       40°00'     N-37-129
0078984   совхоза Красная Дубрава              посёлок         52°26'       39°51'     N-37-128
0080142   совхоза Песковатский                 посёлок         52°32'       40°02'     N-37-129
0108328   совхоза Прибытковский                посёлок         52°25'       39°50'     N-37-128
0108516   Соломоновка                          деревня         52°26'       39°44'     N-37-128
0078763   Сошки                                село            52°22'       39°40'     N-37-128
0078694   Средняя Лукавка                      село            52°29'       40°10'     N-37-129
0079076   Сухоборье                            посёлок         52°26'       39°27'     N-37-127
0078647   Телелюй                              село            52°23'       39°55'     N-37-128
0079367   Фащевка                              село            52°28'       39°43'     N-37-128
0079369   Ямань                                село            52°23'       39°35'     N-37-128
0079368   Ярлуково                             село            52°33'       39°50'     N-37-128




                                    Данковский район
                                    количество записей - 149


0078469   Авдулово                             село            53°18'       38°38'     N-37-102
0079519   Александровка                        деревня         53°29'       38°55'     N-37-090
0078470   Алексеевка                           деревня         53°16'       38°39'     N-37-102
0079619   Алексеевские Выселки                 деревня         53°06'       38°58'     N-37-102
0079620   Алексеевский                         посёлок         53°11'       38°38'     N-37-102
0079621   Апраксино                            деревня         53°16'       38°54'     N-37-102
0079514   Арсеновка                            деревня         53°21'       39°18'     N-37-091
0079516   Ашанино                              деревня         53°25'       39°08'     N-37-091
0079498   Баловинки                            деревня         53°24'       38°50'     N-37-090
0078516   Баловнево                            село            53°13'       39°02'     N-37-103
0078515   Барановка                            деревня         53°15'       39°05'     N-37-103

                                                                        Стр. 4 из 39
  1                           2           3            4                 5

0078446   Барятино                село        53°21'       38°45'     N-37-090
